model,lr,ent_coef,mean_reward,std_reward,win_rate,draw_rate,lose_rate,path
20250617,,,7.557,4.444,87.7,7.0,5.3,BestModel/20250617.zip
optuna_best,,,7.416,4.46,86.0,8.7,5.3,league/optuna_best.zip
league_p3,,,7.279,4.564,87.3,8.0,4.7,league/league_p3.zip
league_p1,,,7.132,4.454,84.7,9.0,6.3,league/league_p1.zip
critic_tuned_v2,,,6.215,4.228,64.3,12.7,23.0,models/critic_tuned_v2.zip
optuna_finetuned,,,5.885,3.914,69.7,12.3,18.0,models/optuna_finetuned.zip
critic_tuned,,,5.685,4.106,57.3,15.7,27.0,models/critic_tuned.zip
best_model,,,5.336,3.932,57.3,18.3,24.3,models/best/best_model.zip
phase4_best4000,,,5.31,3.638,48.3,15.0,36.7,league/phase4_best4000.zip
phase3_best2000,,,5.007,3.54,48.7,16.7,34.7,league/phase3_best2000.zip
interrupt_p4_step20870,,,4.938,3.644,43.0,20.0,37.0,league/interrupt_p4_step20870.zip
interrupt_p4_step13828,,,4.887,3.73,49.0,18.0,33.0,league/interrupt_p4_step13828.zip
phase4_best2000,,,4.846,3.627,45.7,16.7,37.7,league/phase4_best2000.zip
p2_best5000,,,4.829,3.71,43.0,21.0,36.0,league/p2_best5000.zip
p1_clear2000,,,4.789,3.795,45.0,21.7,33.3,league/p1_clear2000.zip
p3_best1000,,,4.777,3.523,43.3,19.3,37.3,league/p3_best1000.zip
phase2_best8000,,,4.773,3.695,51.3,21.3,27.3,league/phase2_best8000.zip
league_final,,,4.749,3.605,41.7,18.7,39.7,models/league_final.zip
interrupt_p1_step1588,,,4.745,3.571,46.3,18.7,35.0,league/interrupt_p1_step1588.zip
phase1_best2000,,,4.737,3.688,40.0,20.0,40.0,league/phase1_best2000.zip
phase1_best4000,,,4.706,3.63,42.0,18.0,40.0,league/phase1_best4000.zip
phase2_best2000,,,4.7,3.495,41.0,21.0,38.0,league/phase2_best2000.zip
optuna_refit,,,4.676,3.31,40.3,19.7,40.0,models/optuna_refit.zip
p1_best1000,,,4.608,3.329,43.0,18.7,38.3,league/p1_best1000.zip
p1_best2000,,,4.607,3.568,42.0,22.3,35.7,league/p1_best2000.zip
p4_best1000,,,4.558,3.338,46.0,20.3,33.7,league/p4_best1000.zip
phase1_best6000,,,4.556,3.388,45.3,18.0,36.7,league/phase1_best6000.zip
interrupt_p1_step312,,,4.471,3.732,41.3,20.7,38.0,league/interrupt_p1_step312.zip
p2_clear5000,,,4.451,3.516,43.0,21.0,36.0,league/p2_clear5000.zip
phase3_cleared2000,,,4.444,3.589,42.3,23.7,34.0,league/phase3_cleared2000.zip
phase1_cleared6000,,,4.443,3.421,45.3,20.3,34.3,league/phase1_cleared6000.zip
p3_best4000,,,4.439,3.509,43.3,24.7,32.0,league/p3_best4000.zip
p2_best2000,,,4.432,3.402,40.7,23.0,36.3,league/p2_best2000.zip
p2_best1000,,,4.43,3.366,41.7,22.0,36.3,league/p2_best1000.zip
phase2_cleared8000,,,4.424,3.409,45.3,22.7,32.0,league/phase2_cleared8000.zip
interrupt_p1_step698,,,4.37,3.355,37.7,20.7,41.7,league/interrupt_p1_step698.zip
interrupt_p1_step478,,,4.366,3.334,37.0,23.0,40.0,league/interrupt_p1_step478.zip
interrupt_p1_step350,,,4.357,3.602,40.7,20.7,38.7,league/interrupt_p1_step350.zip
p3_clear4000,,,4.325,3.229,43.7,22.0,34.3,league/p3_clear4000.zip
p2_best3000,,,4.256,3.373,39.3,24.3,36.3,league/p2_best3000.zip
interrupt_p2_step2048,,,4.176,3.107,40.0,23.0,37.0,league/interrupt_p2_step2048.zip
p3_best2000,,,4.136,3.356,40.0,26.0,34.0,league/p3_best2000.zip
